nada,caption,rating,caption_cleaned
4002,(Traducido por Google) Buena atención y buen servicio del cajero automático.  (Original) Good attention and nice service of the ATM,4.0,buen atencion buen servici cajer automat
4005,Porque tuvieron buena atención al momento de hacer una transacción y no sé demoró mucho a pesar de la cantidad de personas que hubo,3.0,buen atencion moment hac transaccion se demor pes cantid person
4006,Mala atención hay un gordo en plataforma que tiene un pésimo servicio,1.0,mal atencion gord plataform pesim servici
4007,(Traducido por Google) Cabra  (Original) Chevre,3.0,cabr
4009,Sin mayor diferencia. Atencion del bbva de todas maneras siempre mejor,3.0,mayor diferent atencion bbva tod maner siempr mejor
4010,Bien ubicado,4.0,bien ubic
4011,Bueno,5.0,buen
4012,"Muy buen local, con atención personalizada y rápida, y con una buena atención y servicio.",5.0,buen local atencion personaliz rap buen atencion servici
4014,Buena atención,5.0,buen atencion
4015,"La señorita que me atendió ayer martes marzo 12 del 2018 más parecía que me estaba haciendo un favor que prestando un servicio a un cliente. Aparte que estaba muy mal vestida y con cara de momia, me clavó un cobro indebido! Fui a reclamar una deficiencia y me terminó cobrándome por yo ir a reclamar!!! Además, ni me informó que lo que me iba a dar, me lo iba a cobrar. Aparte de esto, voy a emitir una queja formal. La señorita debe irse a su casa. Cambiar de actitud o de trabajo. Arreglarse mejor está recomendado. Voy a averiguar su nombre.",1.0,señorit atend ayer mart marz 12 2018 parec hac favor prest servici client apart mal vest car momi clav cobr indeb reclam deficient termin cobr ir reclam ademas inform iba dar iba cobr apart voy emit quej formal señorit deb irse cas cambi actitud trabaj arregl mejor recomend voy averigu nombr
4017,Es muy pequeña y la atención no muy buena. Los cajeros usan celulares en sus módulos,2.0,pequeñ atencion buen cajer usan celular modul
4018,Buena sede del BBVA Continental.,4.0,buen sed bbva continental
4020,Buena atencion,3.0,buen atencion
4021,"Excelente, muy buen servicio, rápido y atento. Recomendado ✔️👍😃",4.0,excelent buen servici rap atent recomend ✔️👍😃
4022,No respetan su horario de atención,2.0,respet horari atencion
4025,Solo una agencia mas,3.0,sol agenci mas
4026,Banco,4.0,banc
4027,Se demoran,2.0,demor
4028,"Es la segunda vez que vengo para abrir una cuenta sueldo y una tarjeta.... primero espero una cola fuera para ventanilla, luego una vez dentro me dicen que es por plataforma... y otra vez fuera, 30 min ya de espera... la verdad es que la peor experiencia en una oficina bancaria que recuerde, de momento. Espero que luego todo se pueda hacer por internet...",1.0,segund vez veng abrir cuent sueld tarjet primer esper col ventanill lueg vez dentr dic plataform vez 30 min esper verd peor experient oficin bancari recuerd moment esper lueg pued hac internet
4030,"Es una buena agencia, pero no tiene cajero deposito.",4.0,buen agenci cajer deposit
4031,El cajero no funciona 24 horas el Streep mall cierra el ingreso al cajero,4.0,cajer funcion 24 hor streep mall cierr ingres cajer
4032,"Agencia que no suele estar muy concurrida. Estacionamiento disponible en el sótano. No le doy 5 estrellas por que la redujeron de tamaño: antes era más grande y, por lo tanto, tenía mas holgura para atender a los clientes.",4.0,agenci suel concurr estacion dispon sotan doy 5 estrell redujeron tamañ grand mas holgur atend client
4033,"Seguroycomodo,amplioestacionamiento",5.0,seguroycomod amplioestacion
4034,Cerca a todo,5.0,cerc
4035,"Estacionamiento reservado para sus conocidos, el resto de clientes para la calle hdp",1.0,estacion reserv conoc rest client call hdp
4036,"Los trabajadores de ventanilla trabajan muy lento, más de cinco clientes llegaron después de que yo llegue y se fueron primero que mi persona, pésima pero pésima atención",1.0,trabaj ventanill trabaj lent cinc client lleg despues lleg primer person pesim pesim atencion
4037,Buena ubicación,5.0,buen ubic
